Artist,Album,Type,Year,Physical,Digital,Discogs,Quantity,Date Aquired,Notes
Salvador,Solar Conciousness - The 11th Pachakuti,CD,2001,TRUE,FALSE,FALSE,,,
So Called Negroes,Inside Out,CD,2001,FALSE,FALSE,FALSE,,,
So Called Negroes,So Free,CDS,2001,FALSE,FALSE,FALSE,,,
Stress.no/Carhartt,Vol. 3,Mixtape,2001,FALSE,FALSE,FALSE,,,
Stress.no/Carhartt,Vol. 4: Masta Ace's Favorites,Mixtape,2001,TRUE,FALSE,FALSE,,,
Talerne,Fram og Tilbake,CDS,2001,FALSE,FALSE,FALSE,,,
Talerne,Fram og tilbake,CD,2001,FALSE,FALSE,FALSE,,,
Teddy Touch,Off the Heazy,Mix CD,2001,FALSE,FALSE,FALSE,,,
Teddy Touch,Off the Heazy,Mixape/demo/samle,2001,FALSE,FALSE,FALSE,,,
Tommy Tee,World Renown,12’’,2001,TRUE,FALSE,FALSE,,,
Tungtvann,Fire Elementa (Remix),12’’ / CDS,2001,FALSE,FALSE,FALSE,,,
Tungtvann,Fire Elementa (Remix),CDS,2001,TRUE,FALSE,FALSE,,,
URO,Sirkus URO,CD / 12’’,2001,TRUE,FALSE,FALSE,,,
URO,Uroelementer,12’’ / CDS,2001,TRUE,FALSE,FALSE,,,
URO,Uroelementer,CDS Promo,2001,TRUE,FALSE,FALSE,,03/03/2016,Med promoskriv og releasereklame
Vincens,Play For Real,CDA,2001,TRUE,FALSE,FALSE,,,
Vincens,Where’s the Love Gone?,CDS,2001,TRUE,FALSE,FALSE,3,,
Vincens,Where’s the Love Gone?,CDS PROMO,2001,TRUE,FALSE,FALSE,,,
Warlocks,Rapgame,CDS,2001,FALSE,FALSE,FALSE,,,
Warlocks,You R A Dick,12’’,2001,TRUE,FALSE,FALSE,,,
Warlocks,Afterlife,CD,2001,TRUE,FALSE,FALSE,,,
Whimsical,Till I Drop/ Off The Beaten Track,12’’,2001,TRUE,FALSE,FALSE,,,
Alarmclock Connection,Få På No Opprør,CDS,2002,FALSE,FALSE,TRUE,,,
